timestep,ck_kl,ck_tv,ck_unavailable_reason,date
165,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-18
166,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-19
167,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-20
168,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-23
169,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-24
170,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-25
171,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-27
172,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-30
173,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-01
174,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-02
175,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-03
176,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-04
177,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-07
178,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-08
179,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-09
180,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-10
181,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-11
182,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-14
183,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-15
184,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-16
185,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-17
186,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-18
187,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-21
188,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-22
189,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-23
190,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-24
191,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-28
192,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-29
193,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-30
194,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-31
195,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-04
196,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-05
197,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-06
198,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-07
199,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-08
200,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-11
201,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-12
202,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-13
203,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-14
204,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-15
205,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-19
206,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-20
207,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-21
208,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-22
209,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-25
210,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-26
211,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-27
212,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-28
213,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-29
214,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-01
215,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-02
216,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-03
217,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-04
218,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-05
219,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-08
220,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-09
221,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-10
222,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-11
223,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-12
224,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-16
225,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-17
226,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-18
227,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-19
228,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-22
229,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-23
230,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-24
231,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-25
232,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-26
233,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-01
234,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-02
235,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-03
236,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-04
237,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-05
238,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-08
239,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-09
240,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-10
241,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-11
242,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-12
243,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-15
244,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-16
245,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-17
246,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-18
247,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-19
248,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-22
249,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-23
250,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-24
251,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-25
252,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-26
253,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-29
254,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-30
255,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-31
256,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-01
257,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-05
258,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-06
259,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-07
260,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-08
261,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-09
262,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-12
263,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-13
264,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-14
265,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-15
266,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-16
267,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-19
268,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-20
269,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-21
270,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-22
271,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-23
272,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-26
273,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-27
274,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-28
275,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-29
276,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-30
277,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-03
278,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-04
279,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-05
280,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-06
281,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-07
282,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-10
283,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-11
284,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-12
285,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-13
286,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-14
287,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-17
288,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-18
289,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-19
290,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-20
291,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-21
292,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-24
293,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-25
294,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-26
295,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-27
296,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-28
297,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-01
298,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-02
299,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-03
300,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-04
301,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-07
302,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-08
303,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-09
304,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-10
305,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-11
306,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-14
307,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-15
308,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-16
309,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-17
310,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-18
311,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-21
312,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-22
313,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-23
314,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-24
315,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-25
316,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-28
317,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-29
318,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-30
319,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-07-01
320,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-07-02
321,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-07-06
322,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-07-07
323,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-07-08
