Taula 1
Wells Fargo & Company (WFC) — Interim data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
$87.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wells Fargo & Company;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WFC   949746101   2649100   NYSE    Common stock    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FactSet Fundamentals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30 SEP '25;30 JUN '25;31 MAR '25;31 DEC '24;30 SEP '24;30 JUN '24;31 MAR '24;31 DEC '23;30 SEP '23;30 JUN '23;31 MAR '23;31 DEC '22;30 SEP '22;30 JUN '22;31 MAR '22;31 DEC '21;30 SEP '21;30 JUN '21;31 MAR '21;31 DEC '20;30 SEP '20;30 JUN '20;31 MAR '20;31 DEC '19;30 SEP '19;30 JUN '19;31 MAR '19;31 DEC '18;30 SEP '18;30 JUN '18;31 MAR '18;31 DEC '17;30 SEP '17;30 JUN '17;31 MAR '17;31 DEC '16;30 SEP '16;30 JUN '16;31 MAR '16;31 DEC '15;30 SEP '15;30 JUN '15;31 MAR '15;31 DEC '14;30 SEP '14;30 JUN '14;31 MAR '14;31 DEC '13;30 SEP '13;30 JUN '13;31 MAR '13;31 DEC '12;30 SEP '12;30 JUN '12;31 MAR '12;31 DEC '11;30 SEP '11;30 JUN '11;31 MAR '11;31 DEC '10;30 SEP '10;30 JUN '10;31 MAR '10;31 DEC '09;30 SEP '09;30 JUN '09;31 MAR '09;31 DEC '08;30 SEP '08;30 JUN '08;31 MAR '08
Other interest income;3.049;2.585;2.645;;3.465;3.519;3.601;;2.921;2.390;1.988;;1.017;419;90;;105;74;65;;60;54;775;;1.352;1.438;1.322;1.268;1.128;1.042;920;850;851;707;532;436;409;392;374;258;228;250;254;253;243;226;210;208;183;169;163;178;151;133;125;139;156;131;122;124;118;109;84;86;77;81;91;41;42;46;52
Total interest expense;-10.469;-9.612;-9.478;-10.219;-11.308;-10.961;-10.613;-10.068;-8.988;-7.667;-6.020;-4.360;-2.396;-1.358;-960;-859;-925;-893;-1.238;-1.195;-1.432;-1.921;-3.415;-4.395;-4.874;-4.891;-4.692;-4.277;-3.792;-3.474;-3.109;-2.645;-2.595;-2.223;-1.889;-1.656;-1.535;-1.413;-1.305;-1.055;-988;-956;-977;-1.003;-1.023;-1.002;-997;-1.033;-1.028;-1.077;-1.151;-1.214;-1.263;-1.317;-1.367;-1.486;-1.636;-1.706;-1.821;-1.906;-2.032;-2.023;-2.078;-2.192;-2.284;-2.537;-2.937;-2.004;-2.393;-2.269;-3.089
Deposits;-5.188;-5.061;-5.209;;-6.445;-6.149;-5.811;;-4.608;-3.805;-2.761;;-513;-158;-83;;-99;-92;-112;;-314;-585;-1.742;;-2.324;-2.213;-2.026;-1.765;-1.499;-1.268;-1.090;-931;-869;-677;-536;-400;-356;-332;-307;-241;-232;-232;-258;-269;-273;-275;-279;-297;-318;-353;-369;-399;-428;-443;-457;-507;-559;-594;-615;-662;-721;-714;-735;-913;-905;-957;-999;-845;-1.019;-1.063;-1.594
Short-term borrowings;-2.339;-1.612;-1.362;;-1.435;-1.377;-1.218;;-1.133;-961;-570;;-158;-31;14;;7;12;9;;12;17;-291;;-635;-646;-596;-546;-462;-398;-311;-255;-226;-163;-114;-101;-85;-77;-67;-13;-12;-21;-18;-18;-15;-14;-12;-14;-9;-17;-20;-24;-19;-20;-16;-14;-20;-20;-26;-26;-27;-21;-18;-12;-32;-55;-123;-204;-492;-357;-425
Long-term debt;-2.593;-2.609;-2.582;;-3.163;-3.164;-3.349;;-3.039;-2.693;-2.511;;-1.553;-1.011;-761;;-745;-712;-1.026;;-1.038;-1.237;-1.240;;-1.780;-1.900;-1.927;-1.802;-1.667;-1.658;-1.576;-1.344;-1.391;-1.275;-1.147;-1.061;-1.006;-921;-842;-713;-655;-620;-604;-620;-629;-620;-619;-635;-621;-632;-697;-735;-756;-789;-830;-885;-980;-1.009;-1.104;-1.153;-1.226;-1.233;-1.276;-1.217;-1.301;-1.485;-1.779;-955;-882;-849;-1.070
Other interest expense;-349;-330;-325;;-265;-271;-235;;-208;-208;-178;;-172;-158;-130;;-88;-101;-109;;-92;-116;-142;;-135;-132;-143;-164;-164;-150;-132;-115;-109;-108;-92;-94;-88;-83;-89;-88;-89;-83;-97;-96;-106;-93;-87;-87;-80;-75;-65;-56;-60;-65;-64;-80;-77;-83;-76;-65;-58;-55;-49;-50;-46;-40;-36;0;0;0;0
Net interest income;11.950;11.708;11.495;11.836;11.690;11.923;12.227;12.771;13.105;13.163;13.336;13.433;12.098;10.198;9.221;9.262;8.909;8.800;8.808;9.355;9.379;9.892;11.312;11.200;11.625;12.095;12.311;12.644;12.572;12.541;12.238;12.313;12.449;12.471;12.324;12.402;11.952;11.733;11.667;11.588;11.457;11.270;10.986;11.180;10.941;10.791;10.615;10.803;10.748;10.750;10.499;10.643;10.662;11.037;10.888;10.892;10.542;10.678;10.651;11.063;11.098;11.449;11.147;11.500;11.684;11.764;11.376;6.724;6.381;6.278;5.760
Debt securities;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loans;;;;;;;;;;;;;;;;;;;;;;;;;-695;-503;-845;-521;-580;-452;-191;-651;-717;-555;-605;-805;-805;-1.074;-1.086;-831;-703;-300;-608;-485;-368;-217;-325;-363;-75;-652;-1.219;-1.831;-1.591;-1.800;-1.995;-2.040;-1.811;-1.838;-2.210;-2.989;-3.445;-3.989;-5.330;-5.913;-6.111;-5.086;-4.558;-8.444;-2.495;-3.012;-2.028
Net interest income after provision for credit losses;11.950;11.708;11.495;11.836;11.690;11.923;12.227;12.771;13.105;13.163;13.336;13.433;12.098;10.198;9.221;9.262;8.909;8.800;8.808;9.355;9.379;9.892;11.312;11.200;10.930;11.592;11.466;12.123;11.992;12.089;12.047;11.662;11.732;11.916;11.719;11.597;11.147;10.659;10.581;10.757;10.754;10.970;10.378;10.695;10.573;10.574;10.290;10.440;10.673;10.098;9.280;8.812;9.071;9.237;8.893;8.852;8.731;8.840;8.441;8.074;7.653;7.460;5.817;5.587;5.573;6.678;6.818;-1.720;3.886;3.266;3.732
Total noninterest income;9.486;9.114;8.654;8.542;8.676;8.766;8.636;7.707;7.752;7.370;7.393;6.601;7.468;6.842;8.507;11.594;9.925;11.470;9.724;9.134;9.937;8.394;6.405;8.660;10.385;9.489;9.298;8.336;9.369;9.012;9.696;9.737;9.400;9.764;9.931;9.180;10.376;10.429;10.528;9.998;10.418;10.048;10.292;10.263;10.272;10.275;10.010;9.862;9.730;10.628;10.760;11.305;10.551;10.252;10.748;9.713;9.086;9.708;9.678;10.431;9.776;9.945;10.301;11.196;10.782;10.743;9.641;2.753;3.996;5.182;4.803
Deposit and lending-related fees;1.674;1.622;1.633;1.625;1.675;1.618;1.597;1.568;1.551;1.517;1.504;1.522;1.647;1.729;1.815;1.819;1.781;1.704;1.616;1.689;1.651;1.465;1.797;1.888;1.854;1.206;1.094;1.176;1.204;1.163;1.173;1.246;1.276;1.276;1.313;1.357;1.370;1.336;1.309;1.329;1.335;1.289;1.215;1.241;1.311;1.283;1.215;1.283;1.278;1.248;1.214;1.250;1.210;1.139;1.084;1.091;1.103;1.074;1.012;1.035;1.132;1.417;1.332;1.421;1.478;1.448;1.394;803;839;800;748
Service charges on deposit accounts;;;;1.237;;;;1.202;;;;1.178;;;;1.462;;;;1.333;;;;1.530;1.480;1.206;1.094;1.176;1.204;1.163;1.173;1.246;1.276;1.276;1.313;1.357;1.370;1.336;1.309;1.329;1.335;1.289;1.215;1.241;1.311;1.283;1.215;1.283;1.278;1.248;1.214;1.250;1.210;1.139;1.084;1.091;1.103;1.074;1.012;1.035;1.132;1.417;1.332;1.421;1.478;1.448;1.394;803;839;800;748
Lending-related fees;;;;388;;;;366;;;;344;;;;357;;;;356;;;;358;374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Card fees;1.223;1.173;1.044;1.084;1.096;1.101;1.061;1.027;1.098;1.098;1.033;1.095;1.119;1.112;1.029;1.071;1.078;1.077;949;943;912;797;892;1.020;1.027;1.025;944;981;1.017;1.001;908;996;1.000;1.019;945;1.001;997;997;941;966;953;930;871;925;875;847;784;827;813;813;738;736;744;704;654;680;1.013;1.003;957;941;935;911;865;961;946;923;853;589;601;588;558
Trust and investment fees;4.151;3.805;3.949;3.926;3.781;3.670;3.584;3.243;3.283;3.109;3.059;2.981;3.048;3.174;3.482;3.806;3.954;3.944;3.960;3.673;3.514;3.351;3.574;3.572;3.559;3.568;3.373;3.520;3.631;3.675;3.683;3.687;3.609;3.629;3.570;3.698;3.613;3.547;3.385;3.511;3.570;3.710;3.677;3.705;3.554;3.609;3.412;3.458;3.276;3.494;3.202;3.199;2.954;2.898;2.839;2.658;2.786;2.944;2.916;2.958;2.564;2.743;2.669;2.605;2.502;2.413;2.215;661;738;762;763
Investment advisory and other asset-based fees;2.660;2.499;2.536;2.566;2.463;2.415;2.331;2.169;2.224;2.163;2.114;2.049;2.111;2.346;2.498;2.579;2.882;2.794;2.756;2.598;2.505;2.254;2.506;2.380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trust and investment management fees;651;610;638;635;646;614;626;619;567;570;619;601;562;542;537;558;525;580;636;589;568;550;677;728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Investment banking fees;840;696;775;725;672;641;627;455;492;376;326;331;375;286;447;669;547;570;568;486;441;547;391;464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mortgage banking;268;230;332;294;280;243;230;202;193;202;232;79;324;287;693;1.035;1.259;1.336;1.326;1.207;1.590;317;379;783;466;758;708;467;846;770;934;928;1.046;1.148;1.228;1.417;1.667;1.414;1.598;1.660;1.589;1.705;1.547;1.515;1.633;1.723;1.510;1.570;1.608;2.802;2.794;3.068;2.807;2.893;2.870;2.364;1.833;1.619;2.016;2.757;2.499;2.011;2.470;3.411;3.067;3.046;2.504;-195;892;1.197;631
Insurance;;;;;;;;;;;;;;;;;;;;;;;;;;;96;109;104;102;114;223;269;280;277;262;293;286;427;427;376;461;430;382;388;453;432;453;413;485;463;395;414;522;519;466;423;568;503;564;397;544;621;482;468;595;581;337;439;550;504
Net gains / losses from trading and securities;1.615;1.389;883;1.217;1.248;1.522;1.447;1.105;1.246;1.032;985;-181;872;-26;796;2.412;1.244;2.717;891;984;1.274;1.552;-1.100;574;1.235;871;1.296;40;631;527;1.027;728;649;545;878;342;661;964;688;868;1.041;831;1.056;737;1.133;902;1.362;965;893;480;728;927;696;444;997;539;202;1.010;799;581;487;427;608;899;611;711;511;-296;-425;-44;636
Net gains / losses on trading and securities;;;;950;;;;1.070;;;;552;872;;;-177;1.244;2.717;891;-60;1.274;1.552;-1.100;131;276;229;357;10;158;191;243;-1;120;151;272;-109;415;328;200;99;-26;133;408;179;168;382;432;325;397;331;570;275;529;263;640;430;-442;414;612;532;470;109;537;516;622;749;787;-409;;;
Net gains / losses from equity investments;;;;715;;;;35;;;;-733;;;;2.470;;;;884;;;;451;956;622;814;21;416;295;783;572;363;274;570;306;140;189;244;423;920;517;370;372;712;449;847;654;502;203;113;715;164;242;364;61;344;724;353;317;131;288;43;273;29;40;-157;-608;-509;47;313
Net gains / losses on debt securities;;;;-448;;;;0;;;;0;;;;119;;;;160;;;;-8;3;20;125;9;57;41;1;157;166;120;36;145;106;447;244;346;147;181;278;186;253;71;83;-14;-6;-54;45;-63;3;-61;-7;48;300;-128;-166;-268;-114;30;28;110;-40;-78;-119;721;84;-91;323
Other;555;895;813;396;596;612;717;562;381;412;580;1.105;458;566;692;1.451;609;692;982;638;996;912;863;823;2.244;1.261;1.017;1.155;1.086;928;1.057;1.016;674;965;855;141;849;979;1.247;197;455;15;418;634;288;370;248;187;351;217;587;537;629;518;690;819;641;467;486;532;758;910;795;427;760;644;682;319;360;818;464
Lease income;;;;241;;;;292;;;;287;;;;46;;;;224;;;;344;402;424;443;402;453;443;455;458;475;493;481;523;534;497;373;145;189;155;132;127;137;129;133;148;160;225;130;170;218;120;59;60;284;103;77;79;222;329;185;163;224;168;130;62;;;
Other excluding lease income;;;;155;;;;270;;;;818;458;;;1.405;609;692;982;414;996;912;863;479;1.842;837;574;753;633;485;602;558;199;472;374;-382;315;482;874;52;266;-140;286;507;151;241;115;39;191;-8;457;367;411;398;631;759;357;364;409;453;536;581;610;264;536;476;552;257;;;
Other fees;;;;;;;;;;;;;;;;;;;;;;;;;;800;770;888;850;846;800;913;877;902;865;962;926;906;933;1.040;1.099;1.107;1.078;1.124;1.090;1.088;1.047;1.119;1.098;1.089;1.034;1.193;1.097;1.134;1.095;1.096;1.085;1.023;989;1.063;1.004;982;941;990;950;963;901;535;552;511;499
Total revenue;21.436;20.822;20.149;20.378;20.366;20.689;20.863;20.478;20.857;20.533;20.729;20.034;19.566;17.040;17.728;20.856;18.834;20.270;18.532;18.489;19.316;18.286;17.717;19.860;21.315;21.081;20.764;20.459;21.361;21.101;21.743;21.399;21.132;21.680;21.650;20.777;21.523;21.088;21.109;20.755;21.172;21.018;20.670;20.958;20.845;20.849;20.300;20.302;20.403;20.726;20.040;20.117;19.622;19.489;19.641;18.565;17.817;18.548;18.119;18.505;17.429;17.405;16.118;16.783;16.355;17.421;16.459;1.033;7.882;8.448;8.535
Provision for credit losses;-681;-1.005;-932;-1.095;-1.065;-1.236;-938;-1.282;-1.197;-1.713;-1.207;-957;-784;-580;787;452;1.395;1.260;1.048;179;-769;-9.534;-4.005;-644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total noninterest expense;-13.846;-13.379;-13.891;-13.900;-13.067;-13.293;-14.338;-15.786;-13.113;-12.987;-13.676;-16.186;-14.306;-12.862;-13.851;-13.198;-13.303;-13.341;-13.989;-14.802;-15.229;-14.551;-13.048;-15.614;-15.199;-13.449;-13.916;-13.339;-13.763;-13.982;-15.042;-16.800;-14.351;-13.541;-13.792;-13.215;-13.268;-12.866;-13.028;-12.599;-12.399;-12.469;-12.507;-12.647;-12.248;-12.194;-11.948;-12.085;-12.102;-12.255;-12.400;-12.896;-12.112;-12.397;-12.993;-12.508;-11.677;-12.475;-12.733;-13.340;-12.253;-12.746;-12.117;-12.821;-11.684;-12.697;-11.818;-5.810;-5.501;-5.845;-5.442
Personnel;-9.021;-8.709;-9.474;-9.071;-8.591;-8.575;-9.492;-9.181;-8.627;-8.606;-9.415;-8.415;-8.212;-8.442;-9.271;-8.475;-8.690;-8.818;-9.558;-8.948;-8.624;-8.916;-8.323;-8.819;-8.604;-8.474;-9.208;-7.678;-8.265;-8.352;-8.729;-8.361;-8.188;-8.150;-8.672;-7.772;-7.967;-7.947;-8.207;-7.560;-7.460;-7.648;-8.013;-7.644;-7.372;-7.410;-7.516;-7.318;-7.483;-7.512;-7.823;-6.991;-7.079;-7.108;-7.626;-6.969;-6.586;-6.919;-7.193;-6.900;-6.832;-6.852;-6.628;-6.735;-6.513;-6.725;-6.494;-3.177;-3.119;-3.429;-3.215
Salaries;;;;;;;;;;;;;;;;;;;;;;;;;;;-4.425;-4.545;-4.461;-4.465;-4.363;-4.403;-4.356;-4.343;-4.261;-4.193;-4.224;-4.099;-4.036;-4.061;-4.035;-3.936;-3.851;-3.938;-3.914;-3.795;-3.728;-3.811;-3.910;-3.768;-3.663;-3.735;-3.648;-3.705;-3.601;-3.706;-3.718;-3.584;-3.454;-3.513;-3.478;-3.564;-3.314;-3.505;-3.428;-3.438;-3.386;-2.168;-2.078;-2.030;-1.984
Commission and incentive compensation;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.845;-2.427;-2.427;-2.642;-2.768;-2.665;-2.553;-2.499;-2.725;-2.478;-2.520;-2.604;-2.645;-2.457;-2.604;-2.606;-2.685;-2.582;-2.527;-2.445;-2.416;-2.347;-2.401;-2.626;-2.577;-2.365;-2.368;-2.354;-2.417;-2.251;-2.088;-2.171;-2.347;-2.195;-2.280;-2.225;-1.992;-2.086;-2.051;-2.060;-1.824;-671;-555;-806;-644
Employee benefits;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.938;-706;-1.377;-1.245;-1.598;-1.293;-1.279;-1.308;-1.686;-1.101;-1.223;-1.244;-1.526;-1.042;-821;-1.106;-1.477;-1.124;-931;-1.170;-1.372;-1.160;-1.172;-1.118;-1.583;-891;-1.063;-1.049;-1.608;-1.012;-780;-1.164;-1.392;-1.192;-1.074;-1.063;-1.322;-1.144;-1.034;-1.227;-1.284;-338;-486;-593;-587
Technology, telecommunications and equipment;-1.319;-1.287;-1.223;-1.282;-1.142;-1.106;-1.053;-1.076;-975;-947;-922;-902;-798;-799;-876;-827;-741;-815;-844;-838;-791;-672;-798;-936;-821;-641;-661;-643;-634;-550;-617;-608;-523;-529;-577;-642;-491;-493;-528;-640;-459;-470;-494;-581;-457;-445;-490;-567;-471;-418;-528;-542;-510;-459;-557;-607;-516;-528;-632;-813;-557;-588;-678;-681;-563;-575;-687;-402;-302;-305;-348
Net occupancy;-784;-766;-761;-789;-786;-763;-714;-740;-724;-707;-713;-722;-732;-705;-722;-725;-738;-735;-770;-826;-851;-871;-715;-749;-760;-719;-717;-735;-718;-722;-713;-715;-716;-706;-712;-710;-718;-716;-711;-725;-728;-710;-723;-730;-731;-722;-742;-732;-728;-716;-719;-728;-727;-698;-704;-759;-751;-749;-752;-750;-742;-742;-796;-770;-778;-783;-796;-418;-402;-400;-399
Operating losses;-285;-311;-143;-338;-293;-493;-633;-355;-329;-232;-267;-3.517;-2.218;-576;-673;-512;-540;-303;-213;-621;-1.219;-1.219;-464;-1.916;-1.920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Professional and outside services;-1.177;-1.089;-1.038;-1.237;-1.130;-1.139;-1.101;-1.242;-1.310;-1.304;-1.229;-1.357;-1.235;-1.310;-1.286;-1.468;-1.417;-1.450;-1.388;-1.664;-1.760;-1.676;-1.606;-1.789;-1.737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advertising and promotion;-295;-266;-181;-243;-205;-224;-197;-259;-215;-184;-154;-178;-126;-102;-99;-225;-153;-132;-90;-138;-144;-137;-181;-244;-266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Restructuring charges;;;;;;;;;;;;;0;0;-5;-66;-1;4;-13;-781;-718;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Operating leases;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Core deposit and other intangibles;;;;;;;;;;;;;;;;;;;;;;;;;;-27;-28;-264;-264;-265;-265;-288;-288;-287;-289;-301;-299;-299;-293;-311;-311;-312;-312;-338;-342;-349;-341;-375;-375;-377;-377;-418;-419;-418;-419;-467;-466;-464;-483;-549;-548;-553;-549;-642;-642;-646;-647;-47;-47;-46;-46
FDIC and other deposit assessments;;;;;;;;;;;;;;;;;;;;;;;;;;-144;-159;-153;-336;-297;-324;-312;-314;-328;-333;-353;-310;-255;-250;-258;-245;-222;-248;-231;-229;-225;-243;-196;-214;-259;-292;-307;-359;-333;-357;-314;-332;-315;-305;-301;-300;-295;-301;-302;-228;-981;-338;-57;-37;-18;-8
Other;-965;-951;-1.071;-940;-920;-993;-1.148;-2.933;-933;-1.007;-976;-1.095;-985;-928;-919;-900;-1.023;-1.092;-1.113;-986;-1.122;-1.060;-961;-1.161;-1.091;-3.444;-3.143;-3.866;-3.546;-3.796;-4.394;-6.516;-4.322;-3.541;-3.209;-3.437;-3.483;-3.156;-3.039;-3.105;-3.196;-3.107;-2.717;-3.123;-3.117;-3.043;-2.616;-2.897;-2.831;-2.973;-2.661;-3.910;-3.018;-3.381;-3.330;-3.392;-3.026;-3.500;-3.368;-4.027;-3.274;-3.716;-3.165;-3.691;-2.960;-2.987;-2.856;-1.709;-1.594;-1.647;-1.426
Leases;;;;-158;;;;-168;;;;-191;;;;-195;;;;-227;;;;-286;-272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other excluding leases;;;;-782;;;;-2.765;;;;-904;;;;-705;;;;-759;;;;-875;-819;;-3.143;;-3.546;-3.796;-4.394;-6.516;-4.322;-3.541;-3.209;-3.437;-3.483;-3.156;-3.039;-3.105;-3.196;-3.107;-2.717;-3.123;-3.117;-3.043;-2.616;-2.897;-2.831;-2.973;-2.661;-3.910;-3.018;-3.381;-3.330;-3.392;-3.026;-3.500;-3.368;-4.027;-3.274;-3.716;-3.165;-3.691;-2.960;-2.987;-2.856;-1.709;-1.594;-1.647;-1.426
