timestep,ck_kl,ck_tv,ck_unavailable_reason,date
68,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-30
69,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-01
70,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-02
71,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-06
72,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-07
73,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-08
74,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-09
75,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-10
76,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-13
77,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-14
78,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-15
79,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-16
80,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-17
81,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-20
82,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-21
83,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-22
84,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-23
85,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-24
86,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-27
87,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-28
88,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-29
89,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-30
90,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-31
91,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-03
92,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-04
93,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-05
94,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-06
95,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-07
96,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-10
97,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-11
98,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-12
99,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-13
100,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-14
101,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-17
102,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-18
103,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-19
104,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-20
105,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-21
106,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-24
107,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-25
108,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-26
109,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-27
110,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-28
111,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-31
112,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-01
113,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-02
114,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-03
115,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-04
116,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-08
117,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-09
118,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-10
119,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-11
120,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-14
121,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-15
122,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-16
123,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-17
124,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-18
125,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-21
126,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-22
127,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-23
128,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-24
129,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-25
130,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-28
131,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-29
132,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-30
133,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-01
134,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-02
135,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-05
136,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-06
137,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-07
138,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-08
139,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-09
140,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-12
141,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-13
142,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-14
143,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-15
144,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-16
145,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-19
146,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-20
147,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-21
148,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-22
149,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-23
150,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-26
151,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-27
152,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-28
153,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-29
154,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-30
155,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-02
156,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-03
157,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-04
158,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-05
159,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-06
160,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-09
161,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-10
162,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-11
163,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-12
164,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-13
165,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-16
166,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-17
167,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-18
168,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-19
169,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-20
170,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-23
171,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-24
172,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-25
173,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-27
174,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-30
175,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-01
176,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-02
177,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-03
178,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-04
179,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-07
180,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-08
181,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-09
182,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-10
183,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-11
184,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-14
185,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-15
186,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-16
187,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-17
188,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-18
189,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-21
190,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-22
191,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-23
192,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-24
193,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-28
194,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-29
195,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-30
196,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-12-31
197,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-04
198,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-05
199,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-06
200,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-07
201,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-08
202,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-11
203,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-12
204,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-13
205,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-14
206,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-15
207,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-19
208,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-20
209,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-21
210,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-22
211,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-25
212,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-26
213,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-27
214,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-28
215,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-01-29
216,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-01
217,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-02
218,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-03
219,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-04
220,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-05
221,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-08
222,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-09
223,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-10
224,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-11
225,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-12
226,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-16
227,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-17
228,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-18
229,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-19
230,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-22
231,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-23
232,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-24
233,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-25
234,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-02-26
235,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-01
236,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-02
237,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-03
238,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-04
239,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-05
240,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-08
241,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-09
242,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-10
243,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-11
244,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-12
245,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-15
246,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-16
247,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-17
248,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-18
249,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-19
250,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-22
251,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-23
252,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-24
253,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-25
254,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-26
255,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-29
256,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-30
257,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-03-31
258,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-01
259,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-05
260,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-06
261,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-07
262,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-08
263,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-09
264,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-12
265,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-13
266,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-14
267,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-15
268,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-16
269,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-19
270,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-20
271,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-21
272,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-22
273,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-23
274,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-26
275,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-27
276,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-28
277,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-29
278,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-04-30
279,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-03
280,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-04
281,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-05
282,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-06
283,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-07
284,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-10
285,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-11
286,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-12
287,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-13
288,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-14
289,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-17
290,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-18
291,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-19
292,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-20
293,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-21
294,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-24
295,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-25
296,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-26
297,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-27
298,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-05-28
299,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-01
300,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-02
301,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-03
302,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-04
303,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-07
304,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-08
305,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-09
306,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-10
307,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-11
308,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-14
309,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-15
310,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-16
311,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-17
312,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-18
313,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-21
314,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-22
315,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-23
316,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-24
317,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-25
318,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-28
319,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-29
320,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-06-30
321,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-07-01
322,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-07-02
323,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2021-07-06
